Date,CSI300,CSI300_SP_FV_SPMO
2007-11-27,4869.405685,4938.133162
2007-11-28,4804.909561,4883.480257
2007-11-29,5004.723514,5118.212747
2007-11-30,4896.547804,5019.495943
2007-12-03,4932.992248,5094.961118
2007-12-04,4991.431525,5157.582051
2007-12-05,5132.764858,5310.580171
2007-12-06,5138.046512,5323.587023
2007-12-07,5210.697674,5387.322623
2007-12-10,5306.005168,5428.669408
2007-12-11,5312.661499,5394.796560
2007-12-12,5247.948320,5263.496734
2007-12-13,5048.372093,5025.237329
2007-12-14,5144.857881,5122.642279
2007-12-17,5020.454780,4909.319452
2007-12-18,4992.155039,4895.457149
2007-12-19,5112.444444,5005.607888
2007-12-20,5206.408269,5118.542291
2007-12-21,5273.229974,5166.694407
2007-12-24,5382.046512,5310.106680
2007-12-25,5392.051680,5298.298209
2007-12-26,5441.891473,5320.711758
2007-12-27,5547.834625,5451.476707
2007-12-28,5517.602067,5446.622974
2008-01-02,5565.994832,5453.708711
2008-01-03,5604.165375,5400.386999
2008-01-04,5667.855297,5506.714940
2008-01-07,5743.245478,5636.735845
2008-01-08,5713.746770,5629.477787
2008-01-09,5802.335917,5715.834068
2008-01-10,5862.687339,5791.713788
2008-01-11,5890.594315,5919.065912
2008-01-14,5924.299742,5952.108477
2008-01-15,5887.803618,5867.728045
2008-01-16,5690.666667,5606.484214
2008-01-17,5545.860465,5494.033697
2008-01-18,5596.351421,5536.095867
2008-01-21,5318.583979,5225.974707
2008-01-22,4913.560724,4832.436921
2008-01-23,5142.232558,5063.509359
2008-01-24,5196.082687,5089.856282
2008-01-25,5247.989664,5209.930820
2008-01-28,4890.832041,4862.010944
2008-01-29,4922.046512,4884.913653
2008-01-30,4868.888889,4799.425694
2008-01-31,4775.607235,4729.637184
2008-02-01,4725.529716,4757.787924
2008-02-04,5116.403101,5168.073427
2008-02-05,5087.162791,5119.040286
2008-02-13,4977.860465,4973.138979
2008-02-14,5044.186047,5051.001661
2008-02-15,4974.997416,4951.559362
2008-02-18,5075.958656,5049.394716
2008-02-19,5189.405685,5168.280626
2008-02-20,5073.612403,4981.550707
2008-02-21,5039.824289,4911.577685
2008-02-22,4860.196382,4685.757507
2008-02-25,4671.607235,4480.324996
2008-02-26,4667.214470,4505.034241
2008-02-27,4795.627907,4658.030102
2008-02-28,4777.322997,4659.548728
2008-02-29,4831.576227,4713.625176
2008-03-03,4951.669251,4836.954597
2008-03-04,4828.062016,4651.436925
2008-03-05,4784.206718,4622.972723
2008-03-06,4842.408269,4689.713631
2008-03-07,4776.940568,4635.985117
2008-03-10,4580.454780,4419.047649
2008-03-11,4590.366925,4408.621708
2008-03-12,4454.418605,4252.097650
2008-03-13,4340.010336,4148.804115
2008-03-14,4297.540052,4094.323947
2008-03-17,4098.480620,3957.228682
2008-03-18,3890.387597,3793.609077
2008-03-19,4019.493540,3924.985325
2008-03-20,4136.258398,4059.257186
2008-03-21,4173.467700,4083.143267
2008-03-24,3986.656331,3934.115849
2008-03-25,4036.971576,3977.869299
2008-03-26,4045.860465,4011.749803
2008-03-27,3874.852713,3859.120365
2008-03-28,4049.777778,3980.398592
2008-03-31,3917.860465,3854.044023
2008-04-01,3703.214470,3615.391985
2008-04-02,3667.162791,3480.200253
2008-04-03,3773.333333,3590.474252
2008-04-07,3975.007752,3817.040811
2008-04-08,4021.767442,3898.928030
2008-04-09,3812.020672,3709.001821
2008-04-10,3880.847545,3809.362851
2008-04-11,3910.832041,3831.575583
2008-04-14,3655.121447,3592.870304
2008-04-15,3703.669251,3677.160905
2008-04-16,3611.390181,3602.269233
2008-04-17,3500.392765,3493.585395
2008-04-18,3382.428941,3369.915788
2008-04-21,3377.312661,3325.700743
2008-04-22,3407.007752,3297.904600
2008-04-23,3569.746770,3469.062593
2008-04-24,3901.291990,3757.126101
2008-04-25,3930.821705,3777.504092
2008-04-28,3854.418605,3732.304837
2008-04-29,3903.813953,3789.796994
2008-04-30,4092.113695,3929.052457
2008-05-05,4192.020672,4071.806077
2008-05-06,4145.622739,4070.834129
2008-05-07,3949.684755,3906.312217
2008-05-08,4056.888889,4063.417450
2008-05-09,4009.219638,4079.978175
2008-05-12,4036.093023,4084.312824
2008-05-13,3981.074935,4069.116346
2008-05-14,4109.333333,4177.736537
2008-05-15,4080.713178,4139.325697
2008-05-16,4068.341085,4108.525800
2008-05-19,4045.550388,4134.972615
2008-05-20,3835.472868,3911.710421
2008-05-21,3910.129199,3997.780689
2008-05-22,3836.113695,3952.120883
2008-05-23,3798.604651,3870.902515
2008-05-26,3678.780362,3710.607982
2008-05-27,3696.330749,3717.603635
2008-05-28,3799.720930,3798.914052
2008-05-29,3701.157623,3695.486034
2008-05-30,3732.640827,3686.075227
2008-06-02,3747.627907,3709.769731
2008-06-03,3735.514212,3713.841104
2008-06-04,3666.067183,3640.455971
2008-06-05,3630.118863,3571.415309
2008-06-06,3606.718346,3562.716582
2008-06-10,3314.273902,3346.245053
2008-06-11,3245.788114,3254.268919
2008-06-12,3188.248062,3193.153158
2008-06-13,3079.193798,3056.446244
2008-06-16,3051.410853,2963.379984
2008-06-17,2938.170543,2837.920159
2008-06-18,3091.751938,3027.203436
2008-06-19,2866.232558,2843.416286
2008-06-20,2945.395349,2913.529516
2008-06-23,2883.658915,2869.846321
2008-06-24,2947.720930,2969.538262
2008-06-25,3069.291990,3084.693326
2008-06-26,3081.043928,3109.378412
2008-06-27,2910.614987,2960.367139
2008-06-30,2885.602067,2945.890080
2008-07-01,2788.992248,2881.610657
2008-07-02,2790.284238,2902.274704
2008-07-03,2853.343669,2975.175529
2008-07-04,2833.953488,2905.974824
2008-07-07,2979.596899,3026.579229
2008-07-08,2999.317829,3094.973051
2008-07-09,3116.413437,3181.890663
2008-07-10,3073.622739,3152.117641
2008-07-11,3052.713178,3153.785860
2008-07-14,3075.834625,3180.928134
2008-07-15,2948.816537,3075.513643
2008-07-16,2837.829457,2942.523958
2008-07-17,2809.374677,2879.589174
2008-07-18,2910.036176,2957.601632
2008-07-21,3008.837209,3053.544033
2008-07-22,3002.315245,3046.466119
2008-07-23,2980.175711,2980.078837
2008-07-24,3077.374677,3039.940694
2008-07-25,3037.932817,2988.704618
2008-07-28,3060.310078,3016.552696
2008-07-29,3003.235142,3001.259386
2008-07-30,2981.271318,2957.646515
2008-07-31,2899.441860,2866.216911
2008-08-01,2936.217054,2853.449991
2008-08-04,2866.304910,2766.906877
2008-08-05,2793.881137,2622.085126
2008-08-06,2813.116279,2615.394980
2008-08-07,2811.824289,2613.055715
2008-08-08,2678.511628,2482.949645
2008-08-11,2539.338501,2326.752354
2008-08-12,2526.263566,2312.827857
2008-08-13,2526.790698,2325.223765
2008-08-14,2525.591731,2321.937265
2008-08-15,2529.839793,2295.191175
2008-08-18,2391.111111,2131.736115
2008-08-19,2427.359173,2150.963981
2008-08-20,2618.025840,2318.348624
2008-08-21,2526.077519,2233.204776
2008-08-22,2485.715762,2199.772427
2008-08-25,2481.188630,2166.339278
2008-08-26,2409.850129,2061.395803
2008-08-27,2403.400517,2045.975529
2008-08-28,2414.335917,2056.379739
2008-08-29,2471.979328,2109.510196
2008-09-01,2386.739018,2036.413360
2008-09-02,2362.180879,2016.142098
2008-09-03,2321.405685,1967.426638
2008-09-04,2326.770026,1964.518770
2008-09-05,2256.775194,1892.172347
2008-09-08,2197.953488,1817.587289
2008-09-09,2211.007752,1821.262257
2008-09-10,2215.173127,1806.055784
2008-09-11,2141.736434,1751.871064
2008-09-12,2147.648579,1755.156110
2008-09-16,2067.855297,1719.218536
2008-09-17,1993.943152,1709.735865
2008-09-18,1959.679587,1689.792567
2008-09-19,2142.749354,1826.574371
2008-09-22,2281.767442,1917.703994
2008-09-23,2194.811370,1841.321024
2008-09-24,2210.697674,1869.644504
