Date,Open,High,Low,Close,Volume
2023-06-16,5052.8604,5127.7829,5003.2359,5067.3738,
2023-06-19,5058.1287,5116.4641,4960.2022,5024.2293,
2023-06-20,5021.5722,5078.6528,4941.2595,5000.7012,
2023-06-21,4972.1051,5046.1764,4913.5073,4937.9338,
2023-06-26,4906.0850,4961.0368,4821.0939,4864.6104,
2023-06-27,4871.0361,4972.0528,4817.5236,4928.5729,
2023-06-28,4923.7096,4995.7778,4869.6266,4942.0985,
2023-06-29,4939.7573,4993.5574,4864.5138,4921.6050,
2023-06-30,4913.8462,4989.5955,4875.7573,4940.9465,
2023-07-03,4948.8528,5078.3587,4903.6821,5034.0852,
2023-07-04,5027.4006,5084.5526,4964.3498,5026.8081,
2023-07-05,5003.6096,5057.7183,4939.8485,4979.0211,
2023-07-06,4967.2675,5013.4157,4910.0747,4939.6129,
2023-07-07,4922.1812,4979.5257,4871.1718,4921.8718,
2023-07-10,4943.7769,4998.2243,4874.6635,4918.5598,
2023-07-11,4938.0129,4987.2517,4885.6698,4942.9678,
2023-07-12,4921.2072,4971.7643,4861.6389,4894.6110,
2023-07-13,4911.2142,4998.1545,4882.5880,4963.1929,
2023-07-14,4969.2659,5045.4298,4926.8521,4989.9016,
2023-07-17,4936.3666,4968.1228,4842.6735,4896.1009,
2023-07-18,4897.8765,4932.0396,4832.4404,4875.6813,
2023-07-19,4877.3758,4921.5482,4833.6226,4877.0956,
2023-07-20,4876.7687,4924.9844,4809.7097,4824.6444,
2023-07-21,4815.5033,4871.1646,4773.9952,4821.9209,
2023-07-24,4799.5213,4862.8459,4760.3864,4805.4870,
2023-07-25,4881.1057,4986.8511,4844.8086,4944.1380,
2023-07-26,4931.7672,4982.2012,4873.9049,4921.9339,
2023-07-27,4930.8681,5008.1918,4880.7624,4925.6465,
2023-07-28,4910.1572,5043.1130,4874.8964,5019.2725,
2023-07-31,5044.4699,5150.7644,4977.1837,5023.0244,
2023-08-01,5018.9201,5083.2731,4966.4692,5013.4410,
2023-08-02,4995.3077,5051.4364,4924.1821,4956.7544,
2023-08-03,4948.6543,5029.5843,4909.2098,4999.0237,
2023-08-04,5024.7777,5115.1964,4979.3310,5031.8322,
2023-08-07,5004.1817,5040.8542,4938.0648,4985.1158,
2023-08-08,4976.9482,5037.4899,4924.8253,4979.0615,
2023-08-09,4966.9074,5003.5544,4923.2721,4962.9140,
2023-08-10,4957.9322,5019.3693,4924.5276,4986.7124,
2023-08-11,4986.5291,5030.5482,4883.5795,4888.4303,
2023-08-14,4839.2387,4897.9253,4772.3270,4853.6677,
2023-08-15,4861.8282,4926.7258,4803.5174,4874.9215,
2023-08-16,4854.1499,4896.9753,4790.5741,4822.5719,
2023-08-17,4803.5618,4871.9824,4738.4082,4833.6740,
2023-08-18,4831.5312,4900.7964,4773.8592,4798.5115,
2023-08-21,4790.9706,4834.3449,4711.5180,4733.3023,
2023-08-22,4759.0859,4847.3463,4710.2761,4811.3247,
2023-08-23,4806.1345,4861.7817,4743.9875,4774.4477,
2023-08-24,4778.9552,4866.1184,4721.5357,4783.6513,
2023-08-25,4766.1606,4822.3191,4703.9522,4764.6637,
2023-08-28,5006.1156,5035.1117,4785.0078,4818.1348,
2023-08-29,4816.3588,4913.7935,4766.6947,4847.2785,
2023-08-30,4857.9357,4908.1623,4803.3561,4839.5110,
2023-08-31,4839.6774,4895.3551,4790.2452,4826.2662,
2023-09-01,4845.0632,4939.8778,4808.7571,4891.4982,
2023-09-04,4915.3963,5021.7583,4878.4674,4972.9045,
2023-09-05,4958.0654,4997.0330,4896.4106,4935.1981,
2023-09-06,4922.8418,4966.4388,4879.4781,4928.4786,
2023-09-07,4919.9018,4959.4707,4869.9427,4890.4334,
2023-09-08,4874.8810,4918.2743,4832.5764,4867.4742,
2023-09-11,4871.9954,4957.0112,4837.1217,4898.6413,
2023-09-12,4893.2963,4934.0024,4847.5692,4883.3315,
2023-09-13,4883.0407,4931.4183,4838.1315,4876.9236,
2023-09-14,4877.7435,4953.8707,4841.1727,4908.8557,
